id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	versie	kwaliteitsniveau
289234_2018-08-03	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
289746_2018-08-06	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
290870_2018-09-14	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
291550_2024-06-19	2310	0	RapportageHR	-0.8	-0.585227272727273	-0.292221021713714	Versie 3	1
293598_2019-08-12	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
29406_2014-08-21	2330_bu	0	RapportageHR	-0.9	-0.791666666666667	-0.647519479048002	Versie 3	1
29406_2022-09-14	2310	0	RapportageHR	-0.0555555555555555	0.0493827160493827	0.28410985831502	Versie 3	1
294610_2018-07-30	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
295862_2014-09-03	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
295862_2022-10-13	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
29622_2014-09-08	2310	0	RapportageHR	-0.952	-0.888198757763975	-0.723285606631499	Versie 3	1
29622_2022-10-13	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
29654_2023-08-24	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
296658_2018-08-08	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
297234_2017-07-06	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
297234_2024-06-19	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
299310_2023-08-23	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
300242_2018-08-03	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
302290_2018-07-31	2310	0	RapportageHR	-0.75	-0.647058823529412	-0.425531914893617	Versie 3	1
3026_2014-09-09	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
3026_2019-08-19	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
30290_2022-09-29	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
304338_2014-09-22	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
304338_2022-09-22	2310	1	RapportageHR	-0.5	-0.285714285714286	-0.147693110217305	Versie 3	1
304850_2017-07-27	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
304850_2024-07-05	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
306130_2014-09-10	2310	0	RapportageHR	-0.6	-0.379310344827586	-0.0731485688323491	Versie 3	1
