autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde_cyclus1;Jaar cyclus 1;jaar_cyclus2;FID_1;UIDN;OIDN;VHAS;VHAG;NAAM_1;REGCODE;REGCODE1;BEHEER;CATC;LBLCATC;BEKNR;BEKNAAM;STRMGEB;KWALDOEL;LBLKWAL;GEO;LBLGEO;VHAZONENR;WTRLICHC;LENGTE;Distance;bron+datum_cyclus1;Opm_cyclus1;bron+datum_cyclus2;Opm_cyclus2;"verplaatsing (geen: 0; origineel: -1 of verplaatst: 1; meetpunt geschrapt door ongeschikt: -2)";
190;Maas_29;;1_7_20153;Maas;;intersecting or downstream;;246631,4953;181898,7648;;69106;> 10 km²;1;2020;2026;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
191;ZwaBe_03;;1_7_1607;Zwartwater;;intersecting or downstream;;200100,4927;185620,6959;;212134;> 10 km²;2;2020;;;;;;;;;;;;;;;;;;;;;VL05_118;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
192;Maas_30;;1_7_7733;Maas;;intersecting or downstream;;249112,6227;195569,2475;;426066;> 10 km²;3;2020;2026;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
193;Maas_31;;1_7_8876;Maas;;intersecting or downstream;;252527,8479;200331,129;;655778;> 10 km²;4;2020;2022;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;"niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
194;Maas_32;;1_7_8910;Maas;;intersecting or downstream;;252911,5405;203305,7527;;690658;> 10 km²;5;2020;2023;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;"niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
195;SasLo_01;;1_7_214728;Sasloop;;intersecting or downstream;;189624,4461;209735,4826;;906998;< 10 km²;6;2020;;;;;;;;;;;;;;;;;;;;;L217_4672;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
196;BorBe_03;;1_7_121104;Bornebeek;;intersecting or downstream;;74883,26128;200027,5395;;1153089;< 10 km²;7;2020;2026;;;;;;;;;;;;;;;;;;;;L217_0501;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
197;Maas_33;;1_7_8855;Maas;;intersecting or downstream;;251440,5356;199236,0893;;1237410;> 10 km²;8;2020;2026;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
198;SasLo_03;;1_7_208880;Korte Zeggeloop;;intersecting or downstream;;190239,5469;209761,7814;;1305334;< 10 km²;9;2020;;;;;;;;;;;;;;;;;;;;;L217_4672;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
199;GelLo_01;;1_7_189728;Gelsloopke;;intersecting or downstream;;187334,9411;232270,5818;;1309998;< 10 km²;10;2020;;;;;;;;;;;;;;;;;;;;;L217_5251;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
200;KleNe_08;;1_7_23080;Kleine Nete;;intersecting or downstream;;189264,121;210888,0768;;1549302;> 10 km²;11;2020;;;;;;;;;;;;;;;;;;;;;VL11_127;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
201;WarBe_04;;1_7_3419;Warmbeek;;intersecting or downstream;;228740,444;210508,024;;1764882;> 10 km²;12;2020;2026;;;;;;;;;;;;;;;;;;;;L107_858;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
202;NooMa_03;;1_7_221475;Noordermark;;intersecting or downstream;;187034,8397;231962,5865;;1834286;< 10 km²;13;2020;;;;;;;;;;;;;;;;;;;;;L217_5251;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
203;Asbeek_03o;;1_7_31125;Asbeek;;intersecting or downstream;;207917,5445;203886,5026;;1841014;> 10 km²;14;2020;;;;;;;;;;;;;;;;;;;;;L111_1065;;;steekproefvernieuwing2020;gemeten in 2020 (maar verplaatst);;;-1;
204;Maas_34;;1_7_7177;Maas;;intersecting or downstream;;248372,2359;195218,3543;;1867858;> 10 km²;15;2020;;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
205;KleBe_01o;;1_7_171136;Kleinebeek;;intersecting or downstream;;203151,8959;191903,0992;;2031030;< 10 km²;16;2020;;;;;;;;;;;;;;;;;;;;;L217_4391;;;steekproefvernieuwing2020;gemeten in 2020 (maar verplaatst);;;-1;
206;Dommel_11;;1_7_20555;Dommel;;intersecting or downstream;;223963,0733;218233,3332;;2050322;> 10 km²;17;2020;2026;;;;;;;;;;;;;;;;;;;;VL05_136;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
207;BolBe_09;;1_7_19326;Bollisenbeek;;intersecting or downstream;;221617,5874;201378,4386;;2123986;> 10 km²;18;2020;2026;;;;;;;;;;;;;;;;;;;;L107_854;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
208;RoDeG_01;;1_7_46206;Gracht Rode Del;;intersecting or downstream;;203089,5906;224550,9561;;2169582;< 10 km²;19;2020;;;;;;;;;;;;;;;;;;;;;L217_4691;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
209;Dommel_12;;1_7_3495;Dommel;;intersecting or downstream;;224648,419;207450,1733;;2448146;> 10 km²;20;2020;;;;;;;;;;;;;;;;;;;;;VL05_136;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
210;Maas_35;;1_7_8873;Maas;;intersecting or downstream;;252574,2892;200036,8274;;2498978;> 10 km²;21;2020;2023;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;"niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
211;BolBe_10;;1_7_19473;Bollisenbeek;;intersecting or downstream;;221778,8575;201796,2457;;2566354;> 10 km²;22;2020;2026;;;;;;;;;;;;;;;;;;;;L107_854;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
212;GieBo_01;;1_7_199859;NA;;intersecting or downstream;;186553,1896;219937,2918;;2614318;< 10 km²;23;2020;;;;;;;;;;;;;;;;;;;;;G;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
213;DeAa_01;;1_7_27117;De Aa;;intersecting or downstream;;176986,464;209512,3187;;2817750;> 10 km²;24;2020;;;;;;;;;;;;;;;;;;;;;VL05_121;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
214;KlHGr_02;;1_7_38243;Kleine Hoofdgracht;;intersecting or downstream;;209397,4414;206591,8527;;2999158;> 10 km²;25;2020;;;;;;;;;;;;;;;;;;;;;L111_707;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
215;Maas_36;;1_7_20152;Maas;;intersecting or downstream;;246593,6833;181806,0394;;3214834;> 10 km²;26;2020;2027;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
216;Maas_37;;1_7_8899;Maas;;intersecting or downstream;;251873,7151;203066,096;;3328482;> 10 km²;27;2020;2024;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;"niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;;0;
217;WarBe_05o;;1_7_3424;Warmbeek;;intersecting or downstream;;228661,4776;210904,05;;3337746;> 10 km²;28;2020;;;;;;;;;;;;;;;;;;;;;L107_858;;;steekproefvernieuwing2020;gemeten in 2020 (maar verplaatst);;;-1;
218;Maas_38;;1_7_20150;Maas;;intersecting or downstream;;246529,9604;181616,2587;;3598834;> 10 km²;29;2020;2027;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
219;IttBe_02;;1_7_27889;Itterbeek;;intersecting or downstream;;239549,0356;201875,5099;;3634002;> 10 km²;30;2020;2027;;;;;;;;;;;;;;;;;;;;L111_1088;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
220;ZieBe_01;;1_7_114570;Ziepbeek;;intersecting or downstream;;238857,4199;181178,5493;;3717106;< 10 km²;31;2020;2027;;;;;;;;;;;;;;;;;;;;L217_5011;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
221;Maas_39;;1_7_8845;Maas;;intersecting or downstream;;250498,0637;199299,1894;;3734610;> 10 km²;32;2020;2024;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;"niet gemeten in 2020; geschrapt wegens steekproefvernieuwing in 2021 en hierbij niet opnieuw geselecteerd";steekproefvernieuwing2022_2e_cylcus;;0;
222;AntGr_04;;1_7_28258;Antitankkanaal;;intersecting or downstream;;157719,176;224698,149;;3968990;> 10 km²;33;2020;;;;;;;;;;;;;;;;;;;;;L111_724;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
223;SchZi_01;;1_7_27869;Schaagterziep;;intersecting or downstream;;239703,6268;202043,1531;;4092754;> 10 km²;34;2020;2025;;;;;;;;;;;;;;;;;;;;L111_1089;;;steekproefvernieuwing2020;"geschrapt; lag in verkeerde, niet habitatwaardige waterloop";steekproefvernieuwing2022_2e_cylcus;"geschrapt; ligt in verkeerde, niet habitatwaardige waterloop";-2;
224;DeAa_02;;1_7_11707;De Aa;;intersecting or downstream;;178305,2933;209663,6295;;4146134;> 10 km²;37;2020;2027;;;;;;;;;;;;;;;;;;;;VL05_121;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
225;GroNe_14;;1_7_31111;Grote Nete;;intersecting or downstream;;206939,6705;205395,3778;;4204406;> 10 km²;39;2020;2027;;;;;;;;;;;;;;;;;;;;L107_708;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
226;Maas_40;;1_7_7743;Maas;;intersecting or downstream;;250024,6846;195291,0012;;4268114;> 10 km²;40;2020;2027;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
227;SasLo_02;;1_7_208884;Sasloop;;intersecting or downstream;;189947,1674;209845,5088;;4314870;< 10 km²;42;2020;;;;;;;;;;;;;;;;;;;;;L217_4672;;;steekproefvernieuwing2020;gemeten in 2020;;;0;
228;Maas_41;;1_7_8851;Maas;;intersecting or downstream;;251076,1373;199397,2772;;4324434;> 10 km²;43;2020;2027;;;;;;;;;;;;;;;;;;;;VL11_203;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;0;
229;Asbeek_03;;1_7_31125;Asbeek;;intersecting or downstream;;207857;203884;;;;;;2026;;;;;;;;;;;;;;;;;;;;L111_1065;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;1;
230;KleBe_01;;1_7_171136;Kleinebeek;;intersecting or downstream;;203228;191966;;;;;;2026;;;;;;;;;;;;;;;;;;;;L217_4391;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;1;
231;WarBe_05;;1_7_3424;Warmbeek;;intersecting or downstream;;228670;210970;;;;;;2027;;;;;;;;;;;;;;;;;;;;L107_858;;;steekproefvernieuwing2020;gemeten in 2020;steekproefvernieuwing2022_2e_cylcus;;1;
232;KlHGr_03;;1_7_54997;Kleine Hoofdgracht;;outside;;216458,32;208881,76;;264822;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
233;SchNe_09;;1_7_166695;Scheppelijke Nete;;outside;;210008,6;212199,95;;359542;;2;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
234;DalLo_01;;1_7_47415;Dalemansloop;;outside;;196955,29;211460,65;;422134;;3;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
235;MolBe_01;;1_7_7841;Molenbeek;;outside;;144320,05;194657,84;;700137;;4;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;"geschrapt; want gh volgens habitatkaart";;;0;
236;WarBe_06;;1_7_140445;Warmbeek;;outside;;229059,6;208055,24;;1040402;;5;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
237;MolNeZ_01;;1_7_166720;NA (zijbeek Molse Nete);;outside;;205016,11;208998,19;;1354614;;6;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
238;KlHGr_04;;1_7_55005;Kleine Hoofdgracht;;outside;;215670,92;208736,54;;1444470;;8;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
239;PosVa_01o;;1_7_226908;Postelvaartje;;outside;;209566,38;215184,76;;1508470;;9;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;-1;
240;OudLo_01;;1_7_170694;Oudevosvijverloop;;outside;;212059,07;209199,06;;1621622;;11;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;"geschrapt; want gh volgens habitatkaart";;;0;
241;Dommel_13;;1_4_73;Dommel;;outside;;225718,56;199456,82;;1704146;;12;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
242;HofBe_01;;1_4_1047;Hofbeek;;outside;;164179,11;217157,4;;1729430;;13;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
243;SchNe_10;;1_7_34547;Scheppelijke Nete;;outside;;205017,74;210236,4;;2124662;;14;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
244;ZilBe_02;;1_4_1466;Ziltbeke;;outside;;81260,43;212914,62;;2151105;;15;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
245;Stiemer_04;;1_4_1498;Stiemer;;outside;;230484,04;187004,66;;2387410;;16;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;geschrapt, want groot deel overwelfd;;;0;
246;KlHGr_05;;1_7_54994;Kleine Hoofdgracht;;outside;;216748,74;208931,93;;2538102;;17;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
247;KlHGr_06;;1_7_55007;Kleine Hoofdgracht;;outside;;215473,16;208705,29;;2706038;;18;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
248;LoeNe_03;;1_7_30980;Loeijens Neetje;;outside;;197117,56;218240,25;;2811126;;19;2021;2026;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
249;GieBe_05;;1_4_637;Gielisbeek;;outside;;227986,31;198692,44;;3020754;;20;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
250;Voer_09;;1_4_24;Voer;;outside;;251834,15;160681,43;;3048322;;22;2021;2027;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
251;LosBe_01;;1_7_61527;Lossingsbeek;;outside;;176256,33;179597,77;;3280774;;24;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
252;PosVa_02;;1_7_226909;Postelvaartje;;outside;;209535,18;215278,57;;3343478;;25;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
253;LoeNe_04;;1_4_1434;Loeijens Neetje;;outside;;200186,09;220139,54;;3792430;;26;2021;2027;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
254;SchNe_11;;1_4_1224;Scheppelijke Nete;;outside;;209878,47;212029,25;;3832950;;27;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
255;MolNe_01;;1_4_1636;Molse Nete;;outside;;198982,59;207071,83;;3930614;;28;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
256;Dommel_14;;1_4_63;Dommel;;outside;;226051,39;200386,41;;4055250;;29;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
257;Plat_01;;1_7_74832;Het Plat;;outside;;219975,38;210484,75;;4136210;;30;2021;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;gemeten in 2021;;;0;
258;PosVa_01;;1_7_226908;Postelvaartje;;outside;;209571,286;215079,482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2021;"gemeten in 2021; punt verschoven, maar eveneens gh";;;1;
259;AntGr_05;;1_7_30659;Antitankkanaal;;intersecting or downstream;;167040,32;212997,42;;4405142;;;;2027;;;;;;;;;;;;;;;;;;;;;;;steekproefvernieuwing2022_2e_cylcus;;steekproefvernieuwing2022_2e_cylcus;"ligt aan het eind van een waterloop; 100m stroomopwaarts is stilstaand water --> te schrappen";-2;
260;ZwaBe_04;;;;;;;216554;198343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;extra meetpunt in 2022 voor evinbo-project milklim;gemeten in 2022;;
261;KaaBe_01a;;;;;;;228215;179699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vervangpunt voor KaaBe_01 (te sterk beschaduwd);gemeten in 2022;1;
262;IPA_ZN01;;;Zwarte Nete;;;;201185;217580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;extra meetpunt in 2023 voor provincie Antwerpen;;;
263;IPA_ZN02;;;Zwarte Nete;;;;200560;217047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;extra meetpunt in 2023 voor provincie Antwerpen;;;
